--------------------------------------------------------------------------------
File Name:                	TXBoard1.stdf
Lot ID:                   	Default

Test #   Test Name                                   Count         Mean           SD           Min          Max        Range    QC-Lo-Lim    QC-Hi-Lim    Units   
  1380   TxBrd_P174_6571_DIO_27_HSD_LO_Voltage          60       2.9863   0.4568E-03        2.9853       2.9870       0.0016        2.500        3.500   V
  1390   TxBrd_P174_6571_DIO_29_HSD_LO_Voltage          60       2.9870   0.9421E-03        2.9855       2.9885       0.0030        2.500        3.500   V
  1400   TxBrd_P174_6571_DIO_30_HSD_LO_Voltage          60       2.9858       0.0010        2.9844       2.9873       0.0029        2.500        3.500   V
  1410   TxBrd_P174_6571_DIO_31_HSD_LO_Voltage          60       2.9860   0.8290E-03        2.9847       2.9871       0.0024        2.500        3.500   V
  1420   TxBrd_P166_6571_DIO_1_HSD_LO_Voltage           60       2.9870       0.0015        2.9851       2.9892       0.0041        2.500        3.500   V
  1430   TxBrd_P166_6571_DIO_2_HSD_LO_Voltage           60       2.9872       0.0013        2.9855       2.9890       0.0035        2.500        3.500   V
  1440   TxBrd_P166_6571_DIO_3_HSD_LO_Voltage           60       2.9869       0.0014        2.9850       2.9887       0.0036        2.500        3.500   V
  1450   TxBrd_P166_6571_DIO_5_HSD_LO_Voltage           60       2.9855       0.0016        2.9831       2.9875       0.0044        2.500        3.500   V
  1460   TxBrd_P166_6571_DIO_6_HSD_LO_Voltage           60       2.9854       0.0014        2.9836       2.9873       0.0037        2.500        3.500   V
  1470   TxBrd_P166_6571_DIO_7_HSD_LO_Voltage           60       2.9852       0.0014        2.9835       2.9872       0.0037        2.500        3.500   V
  1480   TxBrd_P166_6571_DIO_9_HSD_LO_Voltage           60       2.9858   0.7187E-03        2.9848       2.9868       0.0020        2.500        3.500   V
  1490   TxBrd_P166_6571_DIO_10_HSD_LO_Voltage          60       2.9856   0.7682E-03        2.9845       2.9867       0.0022        2.500        3.500   V
  1500   TxBrd_P166_6571_DIO_11_HSD_LO_Voltage          60       2.9854   0.7544E-03        2.9841       2.9866       0.0024        2.500        3.500   V
  1510   TxBrd_P166_6571_DIO_13_HSD_LO_Voltage          60       2.9844   0.9315E-03        2.9829       2.9857       0.0028        2.500        3.500   V
  1520   TxBrd_P166_6571_DIO_14_HSD_LO_Voltage          60       2.9854   0.9102E-03        2.9840       2.9867       0.0026        2.500        3.500   V
  1530   TxBrd_P166_6571_DIO_15_HSD_LO_Voltage          60       2.9851   0.9233E-03        2.9837       2.9864       0.0027        2.500        3.500   V
  1540   TxBrd_P166_6571_DIO_17_HSD_LO_Voltage          60       2.9857       0.0011        2.9840       2.9871       0.0031        2.500        3.500   V
  1550   TxBrd_P166_6571_DIO_18_HSD_LO_Voltage          60       2.9854       0.0012        2.9837       2.9870       0.0033        2.500        3.500   V
  1560   TxBrd_P166_6571_DIO_19_HSD_LO_Voltage          60       2.9852   0.9357E-03        2.9839       2.9862       0.0023        2.500        3.500   V
  1570   TxBrd_P166_6571_DIO_21_HSD_LO_Voltage          60       2.9851       0.0032        2.9812       2.9889       0.0077        2.500        3.500   V
  1580   TxBrd_P166_6571_DIO_22_HSD_LO_Voltage          60       2.9846       0.0032        2.9806       2.9882       0.0077        2.500        3.500   V
  1590   TxBrd_P166_6571_DIO_23_HSD_LO_Voltage          60       2.9849       0.0031        2.9806       2.9884       0.0078        2.500        3.500   V
  1600   TxBrd_P166_6571_DIO_25_HSD_LO_Voltage          60       2.9855   0.6147E-03        2.9844       2.9865       0.0021        2.500        3.500   V
  1610   TxBrd_P166_6571_DIO_26_HSD_LO_Voltage          60       2.9855   0.5070E-03        2.9846       2.9865       0.0019        2.500        3.500   V
  1620   TxBrd_P166_6571_DIO_27_HSD_LO_Voltage          60       2.9858   0.4868E-03        2.9849       2.9867       0.0018        2.500        3.500   V
